x, y, z
3.106997, 0.060797, 0.398202
3.112127, 0.051346, 0.398837
3.123180, 0.041944, 0.400235
3.123379, 0.022780, 0.400235
3.127427, 0.003620, 0.400744
3.143131, 0.032568, 0.402777
3.124626, 0.071407, 0.430856
3.101060, 0.061350, 0.427578
3.102224, 0.051853, 0.427715
3.107437, 0.032869, 0.428398
3.110495, 0.023358, 0.428807
3.124449, 0.004291, 0.430719
3.127132, 0.042673, 0.431129
3.149186, 0.013987, 0.434133
3.120501, 0.062682, 0.461055
3.132548, 0.053310, 0.462809
3.135664, 0.043740, 0.463247
