x, y, z, C, R, G, B
0, 0, 0, 0, 0, 0, 0
-34.085436, 28.582898, 4.920476, 0, 0.000000, 0.000000, 0.000000
-33.594260, 28.719374, 6.092750, 0, 0.000000, 0.000000, 0.000000
-33.661447, 28.956031, 6.121019, 0, 0.000000, 0.000000, 0.000000
-33.881305, 28.797926, 5.697858, 0, 0.000000, 0.000000, 0.000000
-33.768671, 28.881105, 5.693791, 0, 0.000000, 0.000000, 0.000000
-33.930840, 28.692027, 5.268753, 0, 0.000000, 0.000000, 0.000000
-34.007529, 28.936279, 5.294421, 0, 0.000000, 0.000000, 0.000000
-7.611371, 29.484588, 3.064661, 0, 0.000000, 0.000000, 0.000000
-7.413805, 29.465123, 3.057852, 0, 0.000000, 0.000000, 0.000000
-7.323372, 29.487728, 3.057852, 0, 0.000000, 0.000000, 0.000000
-9.176060, 63.819460, 7.131859, 0, 0.000000, 0.000000, 0.000000
-8.576510, 63.813542, 7.122074, 0, 0.000000, 0.000000, 0.000000
-8.521762, 63.768676, 2.391685, 0, 0.000000, 0.000000, 0.000000
-8.482544, 63.732528, 1.773449, 0, 0.000000, 0.000000, 0.000000
-9.094998, 63.730345, 7.633080, 0, 0.000000, 0.000000, 0.000000
-9.016777, 63.642807, 2.905374, 0, 0.000000, 0.000000, 0.000000
-8.828199, 63.718659, 2.907586, 0, 0.000000, 0.000000, 0.000000
-6.873521, 63.752069, 1.158428, 0, 0.000000, 0.000000, 0.000000
-6.091427, 63.839579, 1.158572, 0, 0.000000, 0.000000, 0.000000
13.555070, 63.080514, 1.165635, 0, 0.000000, 0.000000, 0.000000
13.745978, 63.026908, 1.165418, 0, 0.000000, 0.000000, 0.000000
13.886129, 62.744292, 1.160974, 0, 0.000000, 0.000000, 0.000000
-5.057772, -4.132709, 0.242809, 1, 0.356759, 0.018488, 0.514673
-5.035518, -4.088826, 0.241137, 1, 0.356759, 0.018488, 0.514673
-5.125808, -4.136112, 0.244852, 1, 0.356759, 0.018488, 0.514673
-5.079222, -4.072855, 0.242029, 1, 0.356759, 0.018488, 0.514673
-5.132334, -4.089636, 0.243961, 1, 0.356759, 0.018488, 0.514673
-5.128404, -4.060844, 0.243181, 1, 0.356759, 0.018488, 0.514673
-5.013450, -3.966831, 0.004352, 1, 0.356759, 0.018488, 0.514673
-5.142409, -4.046327, 0.243255, 1, 0.356759, 0.018488, 0.514673
-5.091630, -4.003351, 0.004409, 1, 0.356759, 0.018488, 0.514673
-5.141416, -4.020067, 0.242623, 1, 0.356759, 0.018488, 0.514673
-5.103888, -3.987711, 0.004409, 1, 0.356759, 0.018488, 0.514673
-5.171085, -4.017763, 0.243441, 1, 0.356759, 0.018488, 0.514673
-5.086872, -3.949343, 0.004384, 1, 0.356759, 0.018488, 0.514673
-5.157285, -3.981727, 0.242215, 1, 0.356759, 0.018488, 0.514673
-5.137761, -3.963649, 0.004417, 1, 0.356759, 0.018488, 0.514673
-5.170269, -3.966494, 0.242252, 1, 0.356759, 0.018488, 0.514673
-5.110216, -3.917448, 0.004383, 1, 0.356759, 0.018488, 0.514673
-5.270628, -4.017860, 0.246376, 1, 0.356759, 0.018488, 0.514673
-5.080049, -3.869636, 0.004347, 1, 0.356759, 0.018488, 0.514673
-5.276557, -3.996844, 0.246078, 1, 0.356759, 0.018488, 0.514673
-5.010421, -4.089591, 0.178395, 1, 0.356759, 0.018488, 0.514673
-5.211499, -3.944559, 0.004449, 1, 0.356759, 0.018488, 0.514673
-5.274423, -3.969820, 0.245410, 1, 0.356759, 0.018488, 0.514673
-5.042353, -4.089943, 0.179085, 1, 0.356759, 0.018488, 0.514673
-5.215585, -3.922541, 0.004442, 1, 0.356759, 0.018488, 0.514673
-5.110794, -3.840380, -0.229947, 1, 0.356759, 0.018488, 0.514673
-5.268971, -3.940453, 0.244592, 1, 0.356759, 0.018488, 0.514673
-5.053320, -4.073199, 0.179030, 1, 0.356759, 0.018488, 0.514673
-5.197155, -3.883775, 0.004416, 1, 0.356759, 0.018488, 0.514673
-5.135365, -3.834248, -0.230522, 1, 0.356759, 0.018488, 0.514673
-5.283442, -3.926058, 0.244704, 1, 0.356759, 0.018488, 0.514673
-5.064233, -4.056426, 0.178974, 1, 0.356759, 0.018488, 0.514673
-5.205031, -3.864831, 0.004413, 1, 0.356759, 0.018488, 0.514673
-5.130249, -3.805971, -0.229767, 1, 0.356759, 0.018488, 0.514673
-5.218285, -3.852847, 0.241137, 1, 0.356759, 0.018488, 0.514673
-5.089167, -4.050831, 0.179416, 1, 0.356759, 0.018488, 0.514673
-5.216864, -3.848844, 0.004413, 1, 0.356759, 0.018488, 0.514673
-5.192580, -3.827570, -0.232032, 1, 0.356759, 0.018488, 0.514673
-5.292123, -3.882334, 0.243998, 1, 0.356759, 0.018488, 0.514673
-5.110196, -4.042020, 0.179719, 1, 0.356759, 0.018488, 0.514673
-5.245584, -3.845236, 0.004427, 1, 0.356759, 0.018488, 0.514673
-5.210749, -3.816346, -0.232319, 1, 0.356759, 0.018488, 0.514673
-5.271707, -3.842535, 0.242512, 1, 0.356759, 0.018488, 0.514673
-5.121001, -4.025088, 0.179664, 1, 0.356759, 0.018488, 0.514673
-5.246040, -3.820883, 0.004418, 1, 0.356759, 0.018488, 0.514673
-5.226473, -3.803282, -0.232499, 1, 0.356759, 0.018488, 0.514673
-5.294802, -3.834550, 0.243032, 1, 0.356759, 0.018488, 0.514673
-5.134901, -4.010588, 0.179719, 1, 0.356759, 0.018488, 0.514673
-5.231814, -3.786010, 0.004396, 1, 0.356759, 0.018488, 0.514673
-5.241356, -3.789571, -0.232643, 1, 0.356759, 0.018488, 0.514673
-5.318709, -3.827042, 0.243589, 1, 0.356759, 0.018488, 0.514673
