x,y,z,C,R,G,B
0, 0, 0, 0, 0, 0, 0
19.815479, -5.777409, 3.830714, 0, 0.000000, 0.000000, 0.000000
20.168006, -6.217400, 3.916843, 0, 0.000000, 0.000000, 0.000000
19.901026, -6.202016, 3.868669, 0, 0.000000, 0.000000, 0.000000
19.837706, -5.782152, 3.626377, 0, 0.000000, 0.000000, 0.000000
19.817330, -5.771101, 4.202368, 0, 0.000000, 0.000000, 0.000000
19.816601, -5.771780, 3.999681, 0, 0.000000, 0.000000, 0.000000
-5.905973, -9.540468, 3.429614, 1, 0.665329, 0.395827, 0.860268
-5.942297, -9.533666, 3.433706, 1, 0.665329, 0.395827, 0.860268
-6.036077, -9.618264, 3.470829, 1, 0.665329, 0.395827, 0.860268
-5.942959, -9.405669, 3.400676, 1, 0.665329, 0.395827, 0.860268
-6.133991, -9.642370, 3.493044, 1, 0.665329, 0.395827, 0.860268
-6.153745, -9.608205, 3.487490, 1, 0.665329, 0.395827, 0.860268
-6.136040, -9.452352, 3.444521, 1, 0.665329, 0.395827, 0.860268
-6.228058, -9.403449, 3.447445, 1, 0.665329, 0.395827, 0.860268
-6.066062, -9.037908, 3.327015, 1, 0.665329, 0.395827, 0.860268
-6.085731, -9.007369, 3.322630, 1, 0.665329, 0.395827, 0.860268
-6.331689, -9.309708, 3.441306, 1, 0.665329, 0.395827, 0.860268
-6.339692, -9.260252, 3.430199, 1, 0.665329, 0.395827, 0.860268
-6.073366, -9.634992, 3.346905, 1, 0.665329, 0.395827, 0.860268
-6.141242, -8.911603, 3.308015, 1, 0.665329, 0.395827, 0.860268
-6.148138, -9.687600, 3.371716, 1, 0.665329, 0.395827, 0.860268
-6.215975, -8.961083, 3.333445, 1, 0.665329, 0.395827, 0.860268
-6.140120, -9.609674, 3.351134, 1, 0.665329, 0.395827, 0.860268
-6.339794, -9.079974, 3.384891, 1, 0.665329, 0.395827, 0.860268
-6.159192, -9.574653, 3.345495, 1, 0.665329, 0.395827, 0.860268
-6.478308, -9.284915, 2.987063, 1, 0.665329, 0.395827, 0.860268
-6.282939, -8.939987, 3.339876, 1, 0.665329, 0.395827, 0.860268
-6.205227, -9.581481, 3.354517, 1, 0.665329, 0.395827, 0.860268
-6.332981, -8.952680, 3.351861, 1, 0.665329, 0.395827, 0.860268
-6.076868, -9.320485, 3.269654, 1, 0.665329, 0.395827, 0.860268
-6.365964, -8.940999, 3.354784, 1, 0.665329, 0.395827, 0.860268
-6.242842, -9.511142, 3.343240, 1, 0.665329, 0.395827, 0.860268
-6.881322, -9.671606, 3.131709, 1, 0.665329, 0.395827, 0.860268
-6.514246, -9.090107, 3.418214, 1, 0.665329, 0.395827, 0.860268
-6.641125, -9.207363, 3.469952, 1, 0.665329, 0.395827, 0.860268
